id,module,route,ui_state,control_or_function,prerequisites,journey,test_id,environment,action,expected_effect,evidence,observed,status,defect
RUI-011,Early Warning,/early-warning,empty,"11 buttons, 0 inputs, 0 selects, 3 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by navigation; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-early-warning.png,"heading 'Early Warning'; 11 buttons, 0 inputs, 0 selects, 3 tabs, 0 tables",PASS,
RUI-012,Early Warning Signals,/early-warning/signals,populated,"9 buttons, 0 inputs, 3 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by customer360; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-early-warning-signals.png,"heading 'Early Warning Signals'; 9 buttons, 0 inputs, 3 selects, 0 tabs, 0 tables",PASS,
RUI-013,What-If,/what-if,populated,"52 buttons, 11 inputs, 1 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by whatif_chat; exercised by whatif_journeys; exercised by whatif_fidelity; exercised by navigation; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-what-if.png,"heading 'What-If'; 52 buttons, 11 inputs, 1 selects, 0 tabs, 0 tables",PASS,
RUI-014,Customer 360,/borrower-360,populated,"8 buttons, 1 inputs, 1 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by customer360; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-borrower-360.png,"heading 'Customer 360'; 8 buttons, 1 inputs, 1 selects, 0 tabs, 0 tables",PASS,
RUI-015,Scorecard Validation,/scorecard-validation,populated,"29 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-scorecard-validation.png,"heading 'Scorecard Validation'; 29 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-016,Analysis Studio,/studio,populated,"8 buttons, 1 inputs, 2 selects, 0 tabs, 1 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-studio.png,"heading 'Analysis Studio'; 8 buttons, 1 inputs, 2 selects, 0 tabs, 1 tables",PASS,
RUI-017,Data Builder,/data-builder,populated,"13 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-data-builder.png,"heading 'Data Builder'; 13 buttons, 1 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-018,Trace & Lineage,/trace,populated,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by navigation; exercised by cockpit_journeys; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-trace.png,"heading 'Trace & Lineage'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-019,Playbook,/playbook,empty,"7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-playbook.png,"heading 'Playbook'; 7 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
RUI-020,My reviews,/reviews,populated,"12 buttons, 0 inputs, 0 selects, 5 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-reviews.png,"heading 'My reviews'; 12 buttons, 0 inputs, 0 selects, 5 tabs, 0 tables",PASS,
RUI-021,Workflow,/workflow,populated,"7 buttons, 1 inputs, 0 selects, 0 tabs, 1 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-workflow.png,"heading 'Workflow'; 7 buttons, 1 inputs, 0 selects, 0 tabs, 1 tables",PASS,
RUI-022,Agent Operations,/agent-operations,populated,"23 buttons, 0 inputs, 0 selects, 6 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-agent-operations.png,"heading 'Agent Operations'; 23 buttons, 0 inputs, 0 selects, 6 tabs, 0 tables",PASS,
RUI-023,AI Intelligence Studio,/ai-studio,populated,"25 buttons, 0 inputs, 0 selects, 18 tabs, 0 tables",signed in as retail.demo,navigation -> module; exercised by retail_only,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-ai-studio.png,"heading 'AI Intelligence Studio'; 25 buttons, 0 inputs, 0 selects, 18 tabs, 0 tables",PASS,
RUI-024,Users,/users,populated,"12 buttons, 0 inputs, 2 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-users.png,"heading 'Users'; 12 buttons, 0 inputs, 2 selects, 0 tabs, 0 tables",PASS,
RUI-025,Settings,/settings,empty,"16 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",signed in as retail.demo,navigation -> module,inventory,Chromium 1440x900 against the launcher's build,open the module and read every visible control,the module renders its controls,docs/evidence/retail_functionality/screens/route-settings.png,"heading 'Settings'; 16 buttons, 0 inputs, 0 selects, 0 tabs, 0 tables",PASS,
SIGNIN,shell,,exercised,Sign in with the demonstration account,signed in as retail.demo,cockpit_chat,cockpit_chat:SIGNIN,Chromium 1440x900 against the launcher's build,Sign in with the demonstration account,Sign in with the demonstration account,docs/evidence/retail_functionality/screens/cockpit_chat-signed-in.png,signed in as retail.demo,PASS,
CHAT-01,cockpit,,exercised,"Composer is visible, enabled, focusable, and the scope and provider state are readable",signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-01,Chromium 1440x900 against the launcher's build,"Composer is visible, enabled, focusable, and the scope and provider state are readable","Composer is visible, enabled, focusable, and the scope and provider state are readable",docs/evidence/retail_functionality/screens/cockpit-chat-01.png,visible/enabled=True focused=True state shown=True,PASS,
CHAT-05,cockpit,,exercised,Empty and whitespace-only input cannot be sent and makes no analysis call,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-05,Chromium 1440x900 against the launcher's build,Empty and whitespace-only input cannot be sent and makes no analysis call,Empty and whitespace-only input cannot be sent and makes no analysis call,docs/evidence/retail_functionality/cockpit_chat.json,empty disabled=True blank disabled=True calls made=0,PASS,
CHAT-02,cockpit,,exercised,Typing a real question and clicking Ask makes ONE submission and returns the answer to that question,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-02,Chromium 1440x900 against the launcher's build,Typing a real question and clicking Ask makes ONE submission and returns the answer to that question,Typing a real question and clicking Ask makes ONE submission and returns the answer to that question,docs/evidence/retail_functionality/screens/cockpit-chat-02.png,"completed=True echoed=True posts=['/agentic/officer', '/agentic/officer', '/investigations'] seconds=3.1",PASS,
CHAT-18,cockpit,,exercised,Submission is acknowledged and the answer completes inside a bounded time on this environment,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-18,Chromium 1440x900 against the launcher's build,Submission is acknowledged and the answer completes inside a bounded time on this environment,Submission is acknowledged and the answer completes inside a bounded time on this environment,docs/evidence/retail_functionality/cockpit_chat.json,first answer completed in 3.1s (bound 240s); no unbounded spinner,PASS,
CHAT-03,cockpit,,exercised,Shift+Enter makes a new line and plain Enter sends,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-03,Chromium 1440x900 against the launcher's build,Shift+Enter makes a new line and plain Enter sends,Shift+Enter makes a new line and plain Enter sends,docs/evidence/retail_functionality/screens/cockpit-chat-03.png,shift+enter kept the draft on a new line=True; enter submitted=True,PASS,
CHAT-08,cockpit,,exercised,A double click and an Enter on top of it submit the question once,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-08,Chromium 1440x900 against the launcher's build,A double click and an Enter on top of it submit the question once,A double click and an Enter on top of it submit the question once,docs/evidence/retail_functionality/cockpit_chat.json,submissions recorded: ['/investigations/168/messages'],PASS,
CHAT-07,cockpit,,exercised,After completion the composer and Ask are usable again and no progress indicator is left running,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-07,Chromium 1440x900 against the launcher's build,After completion the composer and Ask are usable again and no progress indicator is left running,After completion the composer and Ask are usable again and no progress indicator is left running,docs/evidence/retail_functionality/cockpit_chat.json,composer enabled=True; Ask disabled on an empty draft=True,PASS,
CHAT-09,cockpit,,exercised,A follow-up resolves against the conversation and the new answer echoes the narrowed scope,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-09,Chromium 1440x900 against the launcher's build,A follow-up resolves against the conversation and the new answer echoes the narrowed scope,A follow-up resolves against the conversation and the new answer echoes the narrowed scope,docs/evidence/retail_functionality/screens/cockpit-chat-09.png,completed=True; the NEW turn names Personal Finance and drops the other products=True,PASS,
CHAT-10,cockpit,,exercised,A period change between messages is applied to the carried scope rather than a stale cached result,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-10,Chromium 1440x900 against the launcher's build,A period change between messages is applied to the carried scope rather than a stale cached result,A period change between messages is applied to the carried scope rather than a stale cached result,docs/evidence/retail_functionality/screens/cockpit-chat-10.png,completed=True; the NEW turn names both periods=True,PASS,
CHAT-06,cockpit,,exercised,A clarification can be answered by clicking the option offered and by typing the answer,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-06,Chromium 1440x900 against the launcher's build,A clarification can be answered by clicking the option offered and by typing the answer,A clarification can be answered by clicking the option offered and by typing the answer,docs/evidence/retail_functionality/screens/cockpit-chat-06.png,the product asked rather than guessing=True; a clickable option resolved it=True; a typed answer resolved it=True,PASS,
CHAT-12,cockpit,,exercised,Navigating away while a question is running and returning shows the answer on ITS conversation,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-12,Chromium 1440x900 against the launcher's build,Navigating away while a question is running and returning shows the answer on ITS conversation,Navigating away while a question is running and returning shows the answer on ITS conversation,docs/evidence/retail_functionality/screens/cockpit-chat-12.png,navigated away mid-flight=True; the answer is on the conversation it was asked in=True,PASS,
CHAT-11,cockpit,,exercised,A new conversation starts clean and an existing one can be reopened with its transcript,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-11,Chromium 1440x900 against the launcher's build,A new conversation starts clean and an existing one can be reopened with its transcript,A new conversation starts clean and an existing one can be reopened with its transcript,docs/evidence/retail_functionality/screens/cockpit-chat-11.png,new conversation at 169?returnTo=%2F&returnLabel=Cockpit&returnType=cockpit; inherited the old scope=False; history listed 50 conversations; reopened one=True,PASS,
CHAT-04,cockpit,,exercised,A pasted multi-line instruction keeps its content and resolves its scope,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-04,Chromium 1440x900 against the launcher's build,A pasted multi-line instruction keeps its content and resolves its scope,A pasted multi-line instruction keeps its content and resolves its scope,docs/evidence/retail_functionality/screens/cockpit-chat-04.png,pasted text preserved=True; answered=True,PASS,
CHAT-15,cockpit,,exercised,"The answer's table, figures, units and evidence link agree with the response",signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-15,Chromium 1440x900 against the launcher's build,"The answer's table, figures, units and evidence link agree with the response","The answer's table, figures, units and evidence link agree with the response",docs/evidence/retail_functionality/screens/cockpit-chat-15.png,the rendered answer carries a Trace and units on its figures,PASS,
CHAT-16,cockpit,,exercised,A long transcript stays readable: earlier evidence can be scrolled to and the composer stays reachable,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-16,Chromium 1440x900 against the launcher's build,A long transcript stays readable: earlier evidence can be scrolled to and the composer stays reachable,A long transcript stays readable: earlier evidence can be scrolled to and the composer stays reachable,docs/evidence/retail_functionality/cockpit_chat.json,transcript height=900px; composer reachable at the bottom=True,PASS,
CHAT-17,cockpit,,exercised,Every extra control the answer shows is present and advertised truthfully,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-17,Chromium 1440x900 against the launcher's build,Every extra control the answer shows is present and advertised truthfully,Every extra control the answer shows is present and advertised truthfully,docs/evidence/retail_functionality/cockpit_chat.json,"controls found on the answer: {'Trace': True, 'Save analysis': True, 'Project': True, 'Download results': True}",PASS,
CHAT-13,cockpit,,exercised,"FAILURE INJECTION — a failed submission shows a real error, keeps the typed question, clears the progress state, and retries successfully without duplicating the run",signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-13,Chromium 1440x900 against the launcher's build,"FAILURE INJECTION — a failed submission shows a real error, keeps the typed question, clears the progress state, and retries successfully without duplicating the run","FAILURE INJECTION — a failed submission shows a real error, keeps the typed question, clears the progress state, and retries successfully without duplicating the run",docs/evidence/retail_functionality/screens/cockpit-chat-13.png,injected failures=1; an error was shown=True; the typed question survived=True; no stuck progress=True; the retry answered=True,PASS,
CHAT-14,cockpit,,exercised,An expired app login returns the user to sign-in and is not reported as a provider or backend failure,signed in as retail.demo,cockpit_chat,cockpit_chat:CHAT-14,Chromium 1440x900 against the launcher's build,An expired app login returns the user to sign-in and is not reported as a provider or backend failure,An expired app login returns the user to sign-in and is not reported as a provider or backend failure,docs/evidence/retail_functionality/screens/cockpit-chat-14.png,sign-in form shown after the session was cleared=True; the message does not blame the AI provider=True,PASS,
SIGNIN,shell,,exercised,Sign in with the demonstration account,signed in as retail.demo,cockpit_journeys,cockpit_journeys:SIGNIN,Chromium 1440x900 against the launcher's build,Sign in with the demonstration account,Sign in with the demonstration account,docs/evidence/retail_functionality/screens/cockpit_journeys-signed-in.png,signed in as retail.demo,PASS,
CP-01,cockpit,,exercised,"Exposure, customers, facilities and weighted ECL by retail product, at the month the question named",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-01,Chromium 1440x900 against the launcher's build,"Exposure, customers, facilities and weighted ECL by retail product, at the month the question named","Exposure, customers, facilities and weighted ECL by retail product, at the month the question named",docs/evidence/retail_functionality/screens/cockpit-cp-01.png,completed=True; the four measures and the four products are on screen=True; the largest product named matches the table=True,PASS,
CP-02,cockpit,,exercised,Narrowing to one product and then comparing periods keeps the measure and changes only what was asked,signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-02,Chromium 1440x900 against the launcher's build,Narrowing to one product and then comparing periods keeps the measure and changes only what was asked,Narrowing to one product and then comparing periods keeps the measure and changes only what was asked,docs/evidence/retail_functionality/screens/cockpit-cp-02.png,the narrowing answered=True; the comparison answered=True; it names both periods=True; it stayed in personal finance=True,PASS,
CP-03,cockpit,,exercised,"A period decomposition reconciles opening, contributions and closing rather than showing an unrelated chart",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-03,Chromium 1440x900 against the launcher's build,"A period decomposition reconciles opening, contributions and closing rather than showing an unrelated chart","A period decomposition reconciles opening, contributions and closing rather than showing an unrelated chart",docs/evidence/retail_functionality/screens/cockpit-cp-03.png,completed=True; both ends of the bridge are named=True; it invents a corporate dimension=False,PASS,
CP-04,cockpit,,exercised,"A definitional question is answered as an explanation, without inventing a portfolio figure",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-04,Chromium 1440x900 against the launcher's build,"A definitional question is answered as an explanation, without inventing a portfolio figure","A definitional question is answered as an explanation, without inventing a portfolio figure",docs/evidence/retail_functionality/screens/cockpit-cp-04.png,completed=True; the answer distinguishes the base scenario from the weighted baseline=True,PASS,
CP-05,cockpit,,exercised,"A misspelt, single-paragraph instruction is read by the ordinary parser rather than refused",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-05,Chromium 1440x900 against the launcher's build,"A misspelt, single-paragraph instruction is read by the ordinary parser rather than refused","A misspelt, single-paragraph instruction is read by the ordinary parser rather than refused",docs/evidence/retail_functionality/screens/cockpit-cp-05.png,completed=True; the stage breakdown and the month were understood=True,PASS,
CP-06,cockpit,,exercised,"An under-specified scorecard question is clarified once, and a typed answer resolves it",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-06,Chromium 1440x900 against the launcher's build,"An under-specified scorecard question is clarified once, and a typed answer resolves it","An under-specified scorecard question is clarified once, and a typed answer resolves it",docs/evidence/retail_functionality/screens/cockpit-cp-06.png,the product asked rather than guessing=True; the typed clarification was answered=True,PASS,
CP-07,cockpit,,exercised,"A discrimination question either reports the cohort, its counts and its statistic, or says what is missing",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-07,Chromium 1440x900 against the launcher's build,"A discrimination question either reports the cohort, its counts and its statistic, or says what is missing","A discrimination question either reports the cohort, its counts and its statistic, or says what is missing",docs/evidence/retail_functionality/screens/cockpit-cp-07.png,completed=True; the answer names the cohort or the evidence it lacks=True,PASS,
CP-08,cockpit,,exercised,A calibration question is not answered with a discrimination statistic,signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-08,Chromium 1440x900 against the launcher's build,A calibration question is not answered with a discrimination statistic,A calibration question is not answered with a discrimination statistic,docs/evidence/retail_functionality/screens/cockpit-cp-08.png,completed=True; Gini offered as calibration evidence=False,PASS,
CP-09,cockpit,,exercised,"A statistic that needs outcomes the book cannot have yet is refused with the reason, not fabricated",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-09,Chromium 1440x900 against the launcher's build,"A statistic that needs outcomes the book cannot have yet is refused with the reason, not fabricated","A statistic that needs outcomes the book cannot have yet is refused with the reason, not fabricated",docs/evidence/retail_functionality/screens/cockpit-cp-09.png,completed=True; the answer explains why the outcome window is not complete=True; it invents a figure=False,PASS,
CP-11,cockpit,,exercised,An explain-and-compare question separates the explanation from the comparison it can actually run,signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-11,Chromium 1440x900 against the launcher's build,An explain-and-compare question separates the explanation from the comparison it can actually run,An explain-and-compare question separates the explanation from the comparison it can actually run,docs/evidence/retail_functionality/screens/cockpit-cp-11.png,completed=True; the answer is about utilisation=True,PASS,
CP-13,cockpit,,exercised,A filter that matches nothing gives an honest empty answer rather than the previous populated one,signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-13,Chromium 1440x900 against the launcher's build,A filter that matches nothing gives an honest empty answer rather than the previous populated one,A filter that matches nothing gives an honest empty answer rather than the previous populated one,docs/evidence/retail_functionality/screens/cockpit-cp-13.png,completed=True; an empty or refusing answer=True; the previous result was reused=False,PASS,
CP-14,cockpit,,exercised,"Opening the evidence and coming back lands on the same conversation, and a follow-up there is contextual",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-14,Chromium 1440x900 against the launcher's build,"Opening the evidence and coming back lands on the same conversation, and a follow-up there is contextual","Opening the evidence and coming back lands on the same conversation, and a follow-up there is contextual",docs/evidence/retail_functionality/screens/cockpit-cp-14.png,the evidence opened=True; Back returned to the conversation=True; the contextual follow-up answered=True,PASS,
CP-15,cockpit,,exercised,Two conversations at two months do not contaminate each other,signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-15,Chromium 1440x900 against the launcher's build,Two conversations at two months do not contaminate each other,Two conversations at two months do not contaminate each other,docs/evidence/retail_functionality/screens/cockpit-cp-15.png,the July conversation is at 2026-07=True; the August one is at 2026-08=True,PASS,
CP-CONT,cockpit,,exercised,"One continuous five-turn conversation: analysis, narrowing, comparison, explanation and evidence",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-CONT,Chromium 1440x900 against the launcher's build,"One continuous five-turn conversation: analysis, narrowing, comparison, explanation and evidence","One continuous five-turn conversation: analysis, narrowing, comparison, explanation and evidence",docs/evidence/retail_functionality/screens/cockpit-cp-continuous.png,Use Cockpit Data for August …=ok; Now only personal finance…=ok; Compare with July 2026…=ok; Explain that change…=ok; Show the evidence…=ok (23s),PASS,
CP-10,cockpit,/borrower-360,exercised,"Explain a named customer's behavioural score through the Customer 360 screen, with the model and its evidence named",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-10,Chromium 1440x900 against the launcher's build,"Explain a named customer's behavioural score through the Customer 360 screen, with the model and its evidence named","Explain a named customer's behavioural score through the Customer 360 screen, with the model and its evidence named",docs/evidence/retail_functionality/screens/cockpit-cp-10.png,customer opened on screen=True; behavioural model named=True; version shown=True; 16 weight-of-evidence contributions listed; read as of this month-end rather than origination=True,PASS,
CP-12,cockpit,,exercised,"A drafting request is answered from the result, and says plainly that no model wrote the prose",signed in as retail.demo,cockpit_journeys,cockpit_journeys:CP-12,Chromium 1440x900 against the launcher's build,"A drafting request is answered from the result, and says plainly that no model wrote the prose","A drafting request is answered from the result, and says plainly that no model wrote the prose",docs/evidence/retail_functionality/screens/cockpit-cp-12.png,completed=True; the deterministic fallback is disclosed on the answer=True — this is NOT a live-provider pass,PASS,
SIGNIN,shell,,exercised,Sign in with the demonstration account,signed in as retail.demo,customer360,customer360:SIGNIN,Chromium 1440x900 against the launcher's build,Sign in with the demonstration account,Sign in with the demonstration account,docs/evidence/retail_functionality/screens/customer360-signed-in.png,signed in as retail.demo,PASS,
C360-01,customer-360,,exercised,"The Early Warning list opens, filters by severity, and every row names the rule, what it measured and what to do",signed in as retail.demo,customer360,customer360:C360-01,Chromium 1440x900 against the launcher's build,"The Early Warning list opens, filters by severity, and every row names the rule, what it measured and what to do","The Early Warning list opens, filters by severity, and every row names the rule, what it measured and what to do",docs/evidence/retail_functionality/screens/c360-01-signals.png,the list opened=True; a severity filter exists=True; a family filter exists=True; 25 alerts listed after filtering to HIGH,PASS,
C360-02,customer-360,,exercised,An alert opens the customer it was raised against,signed in as retail.demo,customer360,customer360:C360-02,Chromium 1440x900 against the launcher's build,An alert opens the customer it was raised against,An alert opens the customer it was raised against,docs/evidence/retail_functionality/screens/c360-02-opened.png,the alert carried a link to its customer=True; the customer screen rendered=True; url=http://localhost:5328/borrower-360?borrower=RC-0017728&period=2026-08&returnTo=%2Fearly-wa,PASS,
C360-03,customer-360,,exercised,"The customer's exposure, allowance and facility count agree with the book, and customer values are reported once",signed in as retail.demo,customer360,customer360:C360-03,Chromium 1440x900 against the launcher's build,"The customer's exposure, allowance and facility count agree with the book, and customer values are reported once","The customer's exposure, allowance and facility count agree with the book, and customer values are reported once",docs/evidence/retail_functionality/screens/c360-03-customer.png,"the header carries RC-0020621, 6 facilities, SAR 1,228,496 and SAR 29,206.24=True; the screen says income and obligations are customer values reported once=True",PASS,
C360-04,customer-360,,exercised,"Every facility is listed with its product, balance, DPD and stage, and one can be opened",signed in as retail.demo,customer360,customer360:C360-04,Chromium 1440x900 against the launcher's build,"Every facility is listed with its product, balance, DPD and stage, and one can be opened","Every facility is listed with its product, balance, DPD and stage, and one can be opened",docs/evidence/retail_functionality/screens/c360-04-facilities.png,"4 distinct products on the facility table (['Auto Finance', 'Credit Card', 'Home Finance', 'Personal Finance']); opening a facility moved to its scores=True",PASS,
C360-05,customer-360,,exercised,"Both scorecards name their model, version and date, and the origination inputs are not shown as current ones",signed in as retail.demo,customer360,customer360:C360-05,Chromium 1440x900 against the launcher's build,"Both scorecards name their model, version and date, and the origination inputs are not shown as current ones","Both scorecards name their model, version and date, and the origination inputs are not shown as current ones",docs/evidence/retail_functionality/screens/c360-05-scores.png,a model id and version are on screen=True; the application card says its inputs are as at origination and the behavioural card says this month-end=True,PASS,
